skin_r,skin_g,skin_b,hair_r,hair_g,hair_b,eye_r,eye_g,eye_b,skin_hex,hair_hex,eye_hex,fitzpatrick,undertone,undertone_mn,depth,depth_mn,season,season_mn
223,186,166,0,0,0,165,120,104,#dfbaa6,,#a57868,I,warm,дулаан,very_light,маш цайвар,Warm Spring,Дулаан хавар
164,108,83,0,0,0,86,41,30,#a46c53,,#56291e,V,warm,дулаан,medium,дунд,Deep Autumn,Гүн намар
214,147,137,0,0,0,132,80,73,#d69389,,#845049,II,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
208,147,104,0,0,0,110,99,78,#d09368,,#6e634e,IV,warm,дулаан,light,цайвар,Warm Autumn,Дулаан намар
235,179,189,0,0,0,115,81,86,#ebb3bd,,#735156,I,cool,сэрүүн,very_light,маш цайвар,Cool Summer,Сэрүүн зун
229,167,161,0,0,0,112,101,103,#e5a7a1,,#706567,I,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
222,150,115,0,0,0,118,92,81,#de9673,,#765c51,III,warm,дулаан,light,цайвар,Warm Autumn,Дулаан намар
146,101,92,0,0,0,68,47,36,#92655c,,#442f24,V,neutral,төвийн,medium,дунд,Deep Winter,Гүн өвөл
227,182,161,0,0,0,128,111,106,#e3b6a1,,#806f6a,I,warm,дулаан,very_light,маш цайвар,Warm Spring,Дулаан хавар
240,203,181,0,0,0,149,119,111,#f0cbb5,,#95776f,I,warm,дулаан,very_light,маш цайвар,Warm Spring,Дулаан хавар
250,221,210,0,0,0,130,114,114,#faddd2,,#827272,I,neutral,төвийн,very_light,маш цайвар,Light Spring,Хөнгөн хавар
222,164,131,0,0,0,111,77,59,#dea483,,#6f4d3b,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
206,151,136,0,0,0,106,106,108,#ce9788,,#6a6a6c,II,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
215,168,165,0,0,0,93,56,47,#d7a8a5,,#5d382f,I,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
165,112,85,0,0,0,83,56,50,#a57055,,#533832,V,warm,дулаан,medium,дунд,Deep Autumn,Гүн намар
175,113,112,0,0,0,75,41,37,#af7170,,#4b2925,IV,neutral,төвийн,medium,дунд,Soft Summer,Зөөлөн зун
215,214,212,0,0,0,121,121,119,#d7d6d4,,#797977,I,neutral,төвийн,very_light,маш цайвар,Light Spring,Хөнгөн хавар
225,185,172,0,0,0,87,64,57,#e1b9ac,,#574039,I,neutral,төвийн,very_light,маш цайвар,Light Summer,Хөнгөн зун
194,122,89,0,0,0,82,43,32,#c27a59,,#522b20,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
216,184,167,0,0,0,131,112,103,#d8b8a7,,#837067,I,warm,дулаан,very_light,маш цайвар,Light Spring,Хөнгөн хавар
164,111,86,0,0,0,79,53,47,#a46f56,,#4f352f,V,warm,дулаан,medium,дунд,Deep Autumn,Гүн намар
249,220,202,0,0,0,116,94,83,#f9dcca,,#745e53,I,warm,дулаан,very_light,маш цайвар,Light Spring,Хөнгөн хавар
222,180,149,0,0,0,102,66,49,#deb495,,#664231,II,warm,дулаан,very_light,маш цайвар,Clear Spring,Тод хавар
212,158,128,0,0,0,106,77,58,#d49e80,,#6a4d3a,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
247,230,212,0,0,0,138,125,110,#f7e6d4,,#8a7d6e,I,warm,дулаан,very_light,маш цайвар,Light Spring,Хөнгөн хавар
114,58,53,56,47,46,37,43,42,#723a35,#382f2e,#252b2a,VI,neutral,төвийн,deep,гүн,Deep Winter,Гүн өвөл
212,156,124,0,0,0,128,89,67,#d49c7c,,#805943,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
159,120,116,0,0,0,92,77,73,#9f7874,,#5c4d49,IV,neutral,төвийн,medium,дунд,Soft Summer,Зөөлөн зун
186,144,121,0,0,0,90,86,75,#ba9079,,#5a564b,III,warm,дулаан,light_medium,цайвар-дунд,Clear Spring,Тод хавар
211,155,107,0,0,0,120,101,83,#d39b6b,,#786553,III,warm,дулаан,light,цайвар,Warm Autumn,Дулаан намар
209,174,148,0,0,0,111,88,73,#d1ae94,,#6f5849,II,warm,дулаан,light,цайвар,Warm Spring,Дулаан хавар
215,146,137,0,0,0,72,50,50,#d79289,,#483232,II,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
220,164,126,0,0,0,117,72,60,#dca47e,,#75483c,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
196,163,167,0,0,0,62,77,87,#c4a3a7,,#3e4d57,I,cool,сэрүүн,light,цайвар,Light Summer,Хөнгөн зун
195,174,171,0,0,0,108,91,92,#c3aeab,,#6c5b5c,I,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
182,133,110,0,0,0,93,65,65,#b6856e,,#5d4141,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
234,182,156,0,0,0,134,94,85,#eab69c,,#865e55,II,warm,дулаан,very_light,маш цайвар,Clear Spring,Тод хавар
193,126,90,0,0,0,99,67,54,#c17e5a,,#634336,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
187,142,128,0,0,0,95,80,72,#bb8e80,,#5f5048,II,neutral,төвийн,light_medium,цайвар-дунд,Light Summer,Хөнгөн зун
204,139,92,0,0,0,106,65,57,#cc8b5c,,#6a4139,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
228,187,171,0,0,0,165,134,129,#e4bbab,,#a58681,I,neutral,төвийн,very_light,маш цайвар,Light Spring,Хөнгөн хавар
165,139,137,0,0,0,81,79,74,#a58b89,,#514f4a,I,neutral,төвийн,light_medium,цайвар-дунд,Light Summer,Хөнгөн зун
240,196,182,0,0,0,126,88,95,#f0c4b6,,#7e585f,I,neutral,төвийн,very_light,маш цайвар,Light Summer,Хөнгөн зун
190,137,130,0,0,0,116,101,100,#be8982,,#746564,II,neutral,төвийн,light_medium,цайвар-дунд,Light Summer,Хөнгөн зун
251,162,126,0,0,0,135,76,50,#fba27e,,#874c32,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
197,140,107,0,0,0,101,63,43,#c58c6b,,#653f2b,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
205,165,111,0,0,0,85,73,57,#cda56f,,#554939,III,warm,дулаан,light,цайвар,Warm Autumn,Дулаан намар
203,129,111,0,0,0,80,47,35,#cb816f,,#502f23,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
231,181,164,0,0,0,93,56,37,#e7b5a4,,#5d3825,I,neutral,төвийн,very_light,маш цайвар,Light Summer,Хөнгөн зун
183,124,120,0,0,0,71,58,80,#b77c78,,#473a50,III,neutral,төвийн,light_medium,цайвар-дунд,Soft Summer,Зөөлөн зун
211,167,139,0,0,0,103,85,71,#d3a78b,,#675547,II,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
222,182,175,0,0,0,130,101,98,#deb6af,,#826562,I,neutral,төвийн,very_light,маш цайвар,Light Summer,Хөнгөн зун
231,180,170,0,0,0,114,111,105,#e7b4aa,,#726f69,I,neutral,төвийн,very_light,маш цайвар,Light Summer,Хөнгөн зун
211,175,170,0,0,0,111,89,91,#d3afaa,,#6f595b,I,neutral,төвийн,light,цайвар,Light Summer,Хөнгөн зун
224,197,191,0,0,0,143,121,112,#e0c5bf,,#8f7970,I,neutral,төвийн,very_light,маш цайвар,Light Summer,Хөнгөн зун
204,149,123,0,0,0,113,82,61,#cc957b,,#71523d,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
244,205,185,0,0,0,146,126,115,#f4cdb9,,#927e73,I,warm,дулаан,very_light,маш цайвар,Warm Spring,Дулаан хавар
126,78,60,0,0,0,64,42,29,#7e4e3c,,#402a1d,VI,warm,дулаан,medium_deep,medium_deep,Deep Autumn,Гүн намар
227,150,126,0,0,0,128,100,93,#e3967e,,#80645d,III,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
186,139,129,0,0,0,119,100,97,#ba8b81,,#776461,II,neutral,төвийн,light_medium,цайвар-дунд,Light Summer,Хөнгөн зун
206,177,167,0,0,0,111,91,89,#ceb1a7,,#6f5b59,I,neutral,төвийн,light,цайвар,Light Spring,Хөнгөн хавар
241,189,143,0,0,0,102,82,56,#f1bd8f,,#665238,II,warm,дулаан,very_light,маш цайвар,Clear Spring,Тод хавар
215,169,144,0,0,0,119,90,77,#d7a990,,#775a4d,II,warm,дулаан,light,цайвар,Clear Spring,Тод хавар
190,134,95,0,0,0,88,65,55,#be865f,,#584137,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
152,104,80,0,0,0,82,69,66,#986850,,#524542,V,warm,дулаан,medium,дунд,Deep Autumn,Гүн намар
242,185,143,0,0,0,131,89,67,#f2b98f,,#835943,II,warm,дулаан,very_light,маш цайвар,Clear Spring,Тод хавар
237,177,124,0,0,0,129,72,39,#edb17c,,#814827,III,warm,дулаан,very_light,маш цайвар,Clear Spring,Тод хавар
216,130,96,0,0,0,109,61,43,#d88260,,#6d3d2b,IV,warm,дулаан,light_medium,цайвар-дунд,Warm Autumn,Дулаан намар
135,106,96,0,0,0,100,88,90,#876a60,,#64585a,V,neutral,төвийн,medium,дунд,Deep Autumn,Гүн намар
